"customer_city","payment_type","order_status","average_order_value"
colatina,debit_card,shipped,48.83
ipora,debit_card,delivered,48.87
santa isabel do ivai,credit_card,delivered,48.88
salto,voucher,delivered,48.97
prudencio thomaz,voucher,delivered,49.04
coqueiros do sul,credit_card,delivered,49.06
pedro leopoldo,debit_card,delivered,49.09
cambara,boleto,delivered,49.11
marica,voucher,canceled,49.11
araraquara,debit_card,delivered,49.23
anastacio,boleto,delivered,49.30
santa cruz do timbo,voucher,delivered,49.31
imigrante,voucher,delivered,49.33
sao luis,credit_card,canceled,49.34
araucaria,debit_card,delivered,49.40
arvoredo,boleto,delivered,49.40
campo belo,boleto,delivered,49.42
sao roque,credit_card,canceled,49.42
uberlandia,debit_card,delivered,49.48
carangola,voucher,delivered,49.52
campo novo do parecis,boleto,delivered,49.52
entre rios do oeste,boleto,delivered,49.53
picada cafe,credit_card,delivered,49.60
jamapara,credit_card,delivered,49.60
vertentes,credit_card,delivered,49.62
itambacuri,boleto,delivered,49.63
fernando prestes,debit_card,delivered,49.75
poloni,credit_card,delivered,49.77
carapicuiba,boleto,shipped,49.82
porto feliz,voucher,delivered,49.85
morpara,credit_card,delivered,49.96
janiopolis,boleto,delivered,49.98
junqueiropolis,voucher,delivered,50.00
mar de espanha,debit_card,delivered,50.00
trajano de moraes,voucher,delivered,50.01
ibirataia,boleto,delivered,50.03
canavieiras,debit_card,delivered,50.03
nova monte verde,credit_card,delivered,50.03
amapa do maranhao,credit_card,delivered,50.05
sao luis,credit_card,invoiced,50.05
sao francisco de paula,voucher,delivered,50.10
miravania,boleto,delivered,50.10
itamira,credit_card,delivered,50.10
balneario camboriu,credit_card,canceled,50.21
novo gama,credit_card,canceled,50.24
espigao,credit_card,delivered,50.26
itaipulandia,credit_card,delivered,50.32
parambu,boleto,delivered,50.33
bom despacho,voucher,delivered,50.33
monte bonito,credit_card,delivered,50.34
santo amaro da imperatriz,boleto,invoiced,50.35
itu,boleto,canceled,50.45
jeceaba,boleto,delivered,50.45
santa maria do salto,credit_card,delivered,50.48
tome-acu,boleto,delivered,50.62
sao pedro de alcantara,credit_card,delivered,50.63
ribeirao,boleto,delivered,50.63
sao lourenco da mata,boleto,delivered,50.68
morro agudo de goias,credit_card,delivered,50.68
simplicio mendes,boleto,delivered,50.75
planaltina de goias,credit_card,delivered,50.80
itapura,debit_card,delivered,50.82
tarabai,boleto,delivered,50.83
pilar do sul,voucher,delivered,50.86
castro alves,credit_card,delivered,50.88
jussara,credit_card,delivered,50.91
altinho,credit_card,delivered,50.94
vicentinopolis,credit_card,delivered,50.95
acajutiba,credit_card,delivered,50.95
